"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 12 16:15:31 GMT 2025","Mon May 12 16:15:33 GMT 2025","2199","","ui.ABTestingTests","","ui.ABTestingTests","openABTestingTest","Check A/B Testing page",""
"passed","Mon May 12 16:15:44 GMT 2025","Mon May 12 16:15:44 GMT 2025","697","","ui.LoadingImagesTests","","ui.LoadingImagesTests","openLoadingImagesTest","Check Loading images page",""
"passed","Mon May 12 16:15:50 GMT 2025","Mon May 12 16:15:51 GMT 2025","725","","ui.SlowCalculatorTests","","ui.SlowCalculatorTests","openSlowCalculatorTest","Check Slow calculator page",""
"failed","Mon May 12 16:15:46 GMT 2025","Mon May 12 16:15:47 GMT 2025","713","","ui.MultilanguageTests","","ui.MultilanguageTests","openMultilanguageTest","Check Multilanguage page",""
"passed","Mon May 12 16:15:39 GMT 2025","Mon May 12 16:15:39 GMT 2025","717","","ui.DropdownMenuTests","","ui.DropdownMenuTests","openDropdownMenuTest","Check Dropdown menu page",""
"passed","Mon May 12 16:15:34 GMT 2025","Mon May 12 16:15:35 GMT 2025","737","","ui.CookiesTests","","ui.CookiesTests","openCookiesTest","Check Cookies page",""
"passed","Mon May 12 16:15:45 GMT 2025","Mon May 12 16:15:46 GMT 2025","688","","ui.LongPageTests","","ui.LongPageTests","openLongPageTest","Check Long page",""
"passed","Mon May 12 16:15:53 GMT 2025","Mon May 12 16:15:54 GMT 2025","1087","","ui.WebFormTests","","ui.WebFormTests","defaultCheckboxTest","Check default Checkbox",""
"passed","Mon May 12 16:15:46 GMT 2025","Mon May 12 16:15:46 GMT 2025","702","","ui.MouseOverTests","","ui.MouseOverTests","openMouseOverTest","Check Mouse over page",""
"passed","Mon May 12 16:15:33 GMT 2025","Mon May 12 16:15:34 GMT 2025","916","","ui.ConsoleLogsTests","","ui.ConsoleLogsTests","openConsoleLogsTest","Check Console Logs page",""
"passed","Mon May 12 16:15:36 GMT 2025","Mon May 12 16:15:37 GMT 2025","713","","ui.DownloadFilesTests","","ui.DownloadFilesTests","openDownloadFilesTest","Check Download Files page",""
"passed","Mon May 12 16:16:22 GMT 2025","Mon May 12 16:16:23 GMT 2025","643","","ui.WebStorageTests","","ui.WebStorageTests","openWebStorageTest","Check Web storage page",""
"passed","Mon May 12 16:15:49 GMT 2025","Mon May 12 16:15:50 GMT 2025","704","","ui.ShadowDOMTests","","ui.ShadowDOMTests","openShadowDOMTest","Check Shadow DOM page",""
"passed","Mon May 12 16:15:55 GMT 2025","Mon May 12 16:15:56 GMT 2025","1016","","ui.WebFormTests","","ui.WebFormTests","passwordClearTest","Check clear password field",""
"passed","Mon May 12 16:15:42 GMT 2025","Mon May 12 16:15:42 GMT 2025","573","","ui.HomePageTests","","ui.HomePageTests","openHomePageTest","Check HomePage page",""
"passed","Mon May 12 16:15:39 GMT 2025","Mon May 12 16:15:40 GMT 2025","804","","ui.FramesTests","","ui.FramesTests","openFramesTest","Check Frames page",""
"passed","Mon May 12 16:16:16 GMT 2025","Mon May 12 16:16:17 GMT 2025","1100","","ui.WebFormTests","","ui.WebFormTests","submitFormTest","Check submit button and form submitted",""
